net,local_idx,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg,rho_even,rho_odd,q_odd_over_even,radius_parity_separation
298,97,11,1,0.13686318998013852,0.052280379305658695,4.434774939051493,1.6601350507950103,0.20780318460557465,0.5839321909210669,-95.11873208730226,4.440274135982902,4.429275742120082,0.9975230371986065,0.0024800342777195963
299,98,7,1,0.15305173689188908,0.03167174559532891,4.280525779503326,-2.6714252135493277,0.28161829871007366,0.6942314212316137,153.06138901204525,4.32331767559932,4.237733883407333,0.9802041398264533,0.019993756982329792
301,99,11,1,0.18238629351313837,0.035885483612724055,4.389030998271608,-2.6950116320279256,0.33048786271040337,0.7049473961791031,154.41279049365951,4.376801509629895,4.401260486913319,1.0055883222553295,0.005572751090857174
305,100,1,1,0.11245093177562392,0.04895092201337735,4.320665846131944,-2.5380776418962228,0.22893068271652328,0.76845410209397,145.42113731722557,4.38458726509771,4.256744427166179,0.9708426745319478,0.029588688985513957
306,101,7,1,0.1574586046911573,0.06008609378697066,4.57210349519839,1.553236453150153,0.25101870025796064,0.7914989445588865,-88.99389351362224,4.541925134618643,4.602281855778137,1.0132887970124063,0.013201083751249286
310,102,5,1,0.11570218837959305,0.02117050071262179,4.442771717348603,0.2040081168088173,0.15963417618494272,0.5066308356020734,-11.688804196594468,4.457395607898011,4.4281478267991945,0.9934383699200958,0.0065832284347644345
311,103,11,1,0.17717402430976467,0.06177428824473166,4.322665348612879,-1.7577084007582842,0.2914490125367821,0.6960770585818775,100.70927415780237,4.24631343328037,4.399017263945388,1.0359615070965338,0.035326313362199144
313,104,7,1,0.14796605720564057,0.03934726333807536,4.357281597037909,-0.6781076846987392,0.2671407726321093,0.968844580865579,38.852708720299596,4.398307408346369,4.31625578572945,0.9813447276419981,0.018830920331772378
319,105,1,1,0.09804763998302257,0.0755554977971214,4.417574237531819,0.13077784028954048,0.19150504819645855,0.6670839605588337,-7.493018510338713,4.438127051936049,4.397021423127589,0.9907380684853245,0.009305022756431785
320,106,11,1,0.2550941483241765,0.07124083023226871,4.307104689333763,-0.6308670738376222,0.36991031255869644,1.1993049079615175,36.14602086126993,4.245722004273549,4.368487374393977,1.0289150749853282,0.02850299191112014
322,107,5,1,0.3640700729824261,0.0999997671464822,4.3798466903949285,-0.5696807458628874,0.6477148519057271,1.2840465938742098,32.64031614496796,4.321804274526136,4.43788910626372,1.0268602704712517,0.026504313950568043
326,108,11,1,0.11020801269847039,0.045701877242988624,4.479751932484802,1.3089802225772333,0.16639362220162154,0.49502252789032947,-74.99904209342233,4.337075282413393,4.62242858255621,1.0657939467410007,0.06369846019231226
329,109,1,1,0.13049426950310375,0.05547634055163369,4.41062890404536,1.312362893127422,0.21493258066976656,0.6866240636562115,-75.19285481379865,4.413356370827768,4.407901437262953,0.9987639943148774,0.0012367700125059033
