net,local_idx,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg
87,45,3,1,0.046031610357469055,0.0571445589886412,6.220264944031018,-3.1003411272925288,0.06358288442890135,0.23277568557852732,177.63646163696785
88,46,3,1,0.055658791592622554,0.05492816580134974,6.245901527670939,-2.3088337214160326,0.08518098693235479,0.3024971438466487,132.286427823109
89,47,9,1,0.04988430985465034,0.05857905579945679,6.337223530342243,0.9165919477951469,0.08404799296281576,0.29263694377516764,-52.51685013431781
90,48,1,1,0.07081508011953766,0.07167703377349742,6.202888054875765,-0.9793391261742468,0.10791224007190875,0.43568760694199793,56.11199860858325
93,49,19,1,0.0492745765578366,0.06362603412973726,6.281418808483573,-0.8642359831783096,0.08429328375774181,0.22422250190217216,49.51707433317888
96,50,19,1,0.04542517334565649,0.0600382687324871,6.302380328805284,2.453026486536206,0.07069258206070965,0.1919483786654222,-140.54806471004218
98,51,3,1,0.06286761647231559,0.06008946990102088,6.187828181649701,-2.9162925753778,0.09714626850229102,0.27294894332130964,167.0912563434861
99,52,3,1,0.044892940328070556,0.046720649139924526,6.214923616516165,-1.2504091565672695,0.07217680595982127,0.20550259019499878,71.64316731663128
100,53,17,1,0.026881281089550377,0.06491301540900994,6.245055986019874,-0.7927540722789105,0.04822886079539886,0.18175193623463845,45.42146253315664
103,54,13,1,0.05378888396544485,0.0631041315065596,6.193545878357107,2.4398562467435707,0.08489931204301707,0.29779284318072363,-139.7934655660434
104,55,15,1,0.05335403318544622,0.05935555210587133,6.345245139425293,1.3906140226646377,0.07672372257560292,0.3152823974992244,-79.67631442542766
105,56,5,1,0.04009448200295789,0.04718003287922805,6.202084385673005,1.1201427657730894,0.07272966545411289,0.27831017370915395,-64.179452920439
107,57,10,2,3.7657602064745554,0.5297193237013895,9.263264580536118,-0.2017786906299018,5.640471864125815,11.386787181042953,11.544729684521274
109,58,9,1,0.06646474262112302,0.06576129615552873,6.1540474169919435,-2.6010291660091327,0.10533500595214586,0.33796539555876487,149.02799353358773
110,59,15,1,0.043594175938807656,0.0729599572508454,6.349595313098774,-0.17228041826044707,0.07039964319224755,0.2663190357151548,9.870940858650787
111,60,21,1,0.030969239292895964,0.06230694763984196,6.348463604244954,3.0711219981256894,0.05218644866147561,0.21690091579145318,-175.96232885903058
112,61,3,1,0.06299137907560051,0.05486647847162651,6.133852874761391,0.26647344726192956,0.0963844680382179,0.3072470033534288,-15.26780392024641
114,62,5,1,0.04415451192784019,0.055645239060181005,6.085590413425871,-1.9583358851170845,0.06987820287830411,0.22466383401548284,112.20438110568415
118,63,13,1,0.04077105760220829,0.05783951993549167,6.305969380349566,0.824825466837481,0.06812905004543124,0.1882803423171337,-47.25901808397471
119,64,13,1,0.06442463240321862,0.07229826837275379,6.119468222854025,-1.5825461096367535,0.09811701221306211,0.3124627080366317,90.67321292689513
120,65,19,1,0.05600285797514197,0.06375205796699879,6.330324782242181,3.006073378275354,0.08842987080946066,0.2976875655335331,-172.23531745418484
121,66,3,1,0.040480495169811906,0.05469096329278077,6.2507894235692225,-0.06792873064028192,0.06984370243114504,0.251610294447279,3.8920295906647464
122,67,3,1,0.053890828796636515,0.05563974858065926,6.292244986096429,0.7276336468196932,0.08872401319526822,0.2674517715351884,-41.69033701557531
123,68,3,1,0.04208006622440903,0.0741931109836949,6.169215232676337,1.1677183285576795,0.07697855928495982,0.32625647492193605,-66.90533186814513
125,69,1,1,0.04521680813458904,0.05469960054999757,6.261969207472514,2.172359281374032,0.07430031257806231,0.21679770168872525,-124.46701843444956
126,70,1,1,0.057911045703478645,0.0738541155267479,6.23939052009255,1.0482527699670907,0.09599130736182315,0.3352556640198661,-60.06045954924184
127,71,5,1,0.04119995807643526,0.054335637904377516,6.293538360234877,-2.1193037687429817,0.07010241651058452,0.2105460250269536,121.42716146694833
129,72,21,1,0.05453258066584323,0.05810062421038335,6.262827087966925,-2.187244003278594,0.08704764951790059,0.2818914034019934,125.31985018011767
132,73,15,1,0.05248362423590606,0.05130548094967661,6.178050631108412,1.041576846584756,0.08117196752651692,0.2462760433774273,-59.67795733860239
133,74,21,1,0.05755908196861463,0.053445945463932124,6.170227712259062,0.3466919937390044,0.09470252334149548,0.3484914161059966,-19.863988078382643
134,75,21,1,0.0333521715878865,0.0445651817174493,6.275713571668086,1.2519189263352244,0.0537813984530445,0.20198048226546308,-71.72967076582178
137,76,19,1,0.04141158228595589,0.042258800912356856,6.189920692808522,-0.7633805848558677,0.07099873443792311,0.2001831179882215,43.73848566306464
138,77,13,1,0.06875118889106087,0.08014797864480408,6.2300290436641355,-2.903046966896718,0.11158361661659495,0.3283653507276555,166.33233891674374
139,78,1,1,0.06271287859536245,0.07378264805343364,6.246763583044332,0.07575338919219139,0.10261057693315616,0.265011573346298,-4.340349476154566
140,79,17,1,0.051084708446791825,0.05356831746688702,6.119348785089343,1.261255056123846,0.07948809799483729,0.21812294039610708,-72.2645915865814
